"name","counties","archiveyear"
"Meadow Fire (Not a CAL FIRE incident)","Modoc","2019"
"Range Fire","Santa Barbara","2019"
"Border Fire","San Diego","2019"
"Kennedy Fire","Riverside","2019"
"Sawday Fire ","San Diego","2019"
"Orange fire","Riverside","2019"
"Thompson Fire ","San Luis Obispo","2019"
"Toro Fire ","Riverside","2019"
"Wendy Fire","Ventura","2019"
"Bar Fire","Siskiyou","2019"
"Whiskey Fire","San Joaquin","2019"
"Trinity Fire","Shasta","2019"
"Country Fire","El Dorado","2019"
"Browns Fire","Sacramento","2019"
"Tulloch Fire","Tuolumne","2019"
"Tree Fire","Siskiyou","2019"
"Timm Fire ","Solano","2019"
"Milpas Fire","San Bernardino","2019"
"Meadow Fire","Riverside","2019"
"Nelson Fire ","Butte","2019"
"Ivy Fire","Riverside","2019"
"Border 9 Fire","San Diego","2019"
"Sweigert Fire ","Santa Clara","2019"
"Lincoln Fire","Riverside","2019"
"Scott Fire","Yuba","2019"
"Scott Fire","Yuba","2019"
"Eagle Fire","Lake","2019"
"Coyote Fire","Santa Clara","2019"
"Levee Fire","Yuba","2019"
"Corning Fire ","Tehama","2019"
"Muir Fire","Marin","2019"
"Lynette Fire","Calaveras","2019"
"Jolon Fire","Monterey","2019"
"Sugar Fire","Placer","2019"
"Canyon Fire","Napa","2019"
"Elk Fire","Glenn","2019"
"Paskenta Fire","Tehama","2019"
"Cabrillo Fire","San Mateo","2019"
"Bayliss Fire","Santa Clara","2019"
"Forbestown Fire","Butte","2019"
"Sellers Fire","Contra Costa","2019"
"Horse Fire","Lassen","2019"
"66 Fire","Riverside","2019"
"Oak Fire","Lake","2019"
"Ranch Fire","San Luis Obispo","2019"
"Willow Fire","San Diego","2019"
"Copper Fire","San Diego","2019"
"Forest Fire","Contra Costa","2019"
"Prairie Fire ","Sacramento","2019"
"Ink Fire","Napa","2019"
"Meridian Fire","Butte","2019"
"Aborn Fire","Santa Clara","2019"
"Springs Fire","Tulare","2019"
"Lower Fire","Shasta","2019"
"Paskenta Fire","Tehama","2019"
"Diversion Fire","Riverside","2019"
"Flood Fire ","San Joaquin","2019"
"Ardo Fire","Monterey","2019"
"Palisades Fire","Los Angeles","2019"
"Plains Fire","Shasta","2019"
"Far Fire","Yuba","2019"
"Jamieson Fire","Santa Clara","2019"
"Patterson Fire","El Dorado","2019"
"Community Fire","Siskiyou","2019"
"Calaveras Fire ","Santa Clara","2019"
"Redwood Fire","Riverside","2019"
"Yucca Fire","Riverside","2019"
"Heavy Range Fire","Yolo","2019"
"Yokohl Fire","Tulare","2019"
"Bitter Fire","San Luis Obispo","2019"
"Mare Fire","Solano","2019"
"Gilbert Fire","Shasta","2019"
"Ranch Fire","Shasta","2019"
"Mountain Fire","Alameda","2019"
"Girasol Fire","Riverside","2019"
"Pilot Fire","Humboldt","2019"
"Point Fire ","Santa Clara","2019"
"Caliente Fire","Kern","2019"
"Glass Fire","Lake","2019"
"Otay Fire","San Diego","2019"
"Watt Fire","Placer","2019"
"Foothill Fire","Riverside","2019"
"Grove Fire","Lake","2019"
"Frame Fire","Fresno","2019"
"Border 10 Fire","Mexico","2019"
"Border 10 Fire","San Diego","2019"
"Bikeway Fire","Alameda","2019"
"Bear Fire","Tulare","2019"
"Fellow Fire","Contra Costa","2019"
"Nelson Fire ","Solano","2019"
"Willow Fire","Contra Costa","2019"
"Border Fire","San Diego","2019"
"Preston Fire","Tuolumne","2019"
"Spring Fire ","Colusa","2019"
"Radio Fire","Riverside","2019"
"Golf Fire","Lake","2019"
"Gibbel Fire ","Riverside","2019"
"Nuevo Fire","Riverside","2019"
"Sobrante Fire ","Riverside","2019"
"Warren Fire","Riverside","2019"
"Carroll Fire","Alameda","2019"
"Del Fire","Stanislaus","2019"
"Foster Fire ","San Benito","2019"
"Mines Fire","Santa Clara","2019"
"32 Fire","Butte","2019"
"Rocky Fire","Siskiyou","2019"
"Cow Fire","Shasta","2019"
"Greenstone Fire ","El Dorado","2019"
"Duzel Fire","Siskiyou","2019"
"Telephone Fire","San Bernardino","2019"
"Pauma Fire","San Diego","2019"
"Carson Fire","El Dorado","2019"
"Little Fire","Alameda","2019"
"Mayberry Fire ","Butte","2019"
"Beaumont Fire","San Bernardino","2019"
"Dales Fire","Tehama","2019"
"Bridge Fire","Stanislaus","2019"
"Mines Fire","Alameda","2019"
"Fairmont Fire","San Diego","2019"
"Inghram Fire","Tehama","2019"
"Electra Fire","Amador","2019"
"Bailey Fire","Riverside","2019"
"Moms Fire ","Butte","2019"
"IronGate Fire","Siskiyou","2019"
"Cana Fire","Butte","2019"
"Eagle Fire","Riverside","2019"
"Long Fire","Nevada","2019"
"Cashe Fire ","Yolo","2019"
"Oak Fire","San Diego","2019"
"Johnson Fire ","Riverside","2019"
