"name","counties","archiveyear"
"Loma Fire","Santa Clara","2016"
"Meadow Fire","Tulare","2016"
"Clayton Fire","Lake","2016"
"Metz Fire","Monterey","2016"
"Roberts Fire","San Luis Obispo","2016"
"Curry Fire","Fresno","2016"
"Pony Fire","Siskiyou","2016"
"Clark Fire","Mono","2016"
"Soup Complex","Modoc","2016"
"Willard Fire","Lassen","2016"
"Coleman Fire","Monterey","2016"
"Pine Fire","Ventura","2016"
"Goose Fire","Fresno","2016"
"Sacata Fire","Fresno","2016"
"Skeggs Fire","San Mateo","2017"
"Deer Fire","Kern","2016"
"Sawmill Fire","Sonoma","2016"
"Bogart Fire","Riverside","2016"
"Dinosaur Fire","Merced","2016"
"Roblar Fire","San Diego","2016"
"Sage Fire","Los Angeles","2016"
"Marshes Fire","Tuolumne","2016"
"Saddle Fire","Butte","2016"
"Grade Fire","Siskiyou","2016"
"Marina Fire","Mono","2016"
"Calgary Fire","Kern","2017"
"Tully Fire","Humboldt","2016"
"Fort Fire","Kern","2016"
"99 Fire","Butte","2016"
"Range Fire","Kern","2016"
"Colyear Fire","Tehama","2016"
"Willow Fire","Calaveras","2016"
"Fiddler Fire","Shasta","2016"
"Beale Fire","Yuba","2016"
"Tule Fire","Tulare","2016"
"Howard Fire","Modoc","2016"
"Rancho Fire","Amador","2016"
"Hog Fire","Tehama","2016"
"Pacheco Fire","Calaveras","2016"
"Appaloosa Fire","Calaveras","2016"
"Flat Fire","Kern","2016"
"Havilah Fire","Kern","2016"
"Butte Fire","Sutter","2016"
"DeWolf Fire","Fresno","2016"
"Creek Fire","Yolo","2016"
"Tobin Fire","Plumas","2016"
"King Fire ","San Benito","2016"
"Onyx Fire","Kern","2016"
"Washington Fire","Santa Barbara","2016"
"Reservoir Fire","Lake","2016"
"Grant Fire","Alameda","2016"
"Camanche Fire","Amador","2016"
"Big Fire","Fresno","2016"
"Emerald Fire","El Dorado","2016"
"Briggs Fire","Riverside","2016"
"Athens Fire","Placer","2016"
"Sunny Fire","Fresno","2016"
"Wheatland Fire","Los Angeles","2016"
"Hills Fire","Fresno","2016"
"Old Fire","Del Norte","2016"
"Holy Fire","Orange","2016"
"Shedd Fire","San Luis Obispo","2016"
"Bird Fire","San Joaquin","2016"
"Frame Fire","Fresno","2016"
"Maze Fire","Stanislaus","2016"
"Temecula Fire","Riverside","2016"
"Famoso Fire","Kern","2016"
"Avocado Fire","Fresno","2016"
"Bangor Fire","Butte","2016"
"Green Fire","Fresno","2016"
"Rock Creek Fire","Mono","2016"
"Coe Fire","Stanislaus","2016"
"Sierra Fire","Santa Clara","2016"
"Coal Fire","Butte","2016"
"Broken Fire","Madera","2016"
"Cow Fire","Shasta","2016"
"Bailey Fire","Santa Clara","2016"
"Hart Fire","Kern","2016"
"Diablo Fire","Stanislaus","2016"
"Bradley Fire","Monterey","2016"
"Feather Fire","San Diego","2016"
"Mercury Fire","San Benito","2016"
"Dunstone Fire","Butte","2016"
"Santos Fire","Butte","2016"
"Flores Fire","Tehama","2016"
"Moore Fire","Placer","2016"
"Scott Fire","Sacramento","2016"
"Frazier Fire","San Luis Obispo","2016"
"Grub Fire","Madera","2016"
"Tulloch Fire","Tuolumne","2016"
"Dunnigan Fire","Yolo","2016"
"Cheyenne Fire","Calaveras","2016"
"Old Fire","San Benito","2016"
"Baker Fire","Tehama","2016"
"Serpa Fire","Madera","2016"
"Hoag Fire","Tehama","2016"
"Sherwood Fire","Ventura","2016"
