"name","acres","counties_affected","archiveyear"
"Kelsey Fire","24","1","2018"
"Fairview Fire","35","1","2018"
"Holiday Fire","80","1","2017"
"Otay Fire","28","1","2019"
"Metz Fire","3876","1","2016"
"Siskiyou County Lightning Fires","30","1","2014"
"Curie Fire","125","1","2014"
"Trout Fire","40","1","2013"
"Douglas Fire","50","1","2017"
"Pony Fire","2860","1","2016"
"Table Fire","23","1","2016"
"Calgrove Fire ","415","1","2015"
"Cottontail Fire","35","1","2013"
"Lopez Fire","220","1","2019"
"Ranch Fire","2534","3","2019"
"Valley Fire","149","1","2019"
"Antelope Fire","45","1","2015"
"Knoxville Fire","36","1","2016"
"Dyer Fire","148","1","2019"
"Mare Fire","30","1","2019"
"Farad Fire","747","1","2017"
"Marble Fire","319","1","2017"
"Front Fire","1014","1","2018"
"4-10 Fire","27","1","2017"
"Daves Fire","226","1","2013"
"Lime Fire","1872","1","2019"
"Cotton Fire","61","1","2016"
"Border Fire","20","1","2014"
"Bridge Fire","460","1","2017"
"Orleans Complex","27276","1","2017"
"Fern Fire","75","1","2015"
"Honcut Fire","60","1","2014"
"Wendy Fire","91","1","2019"
"Clear Complex (merged into Eclipse Complex)","0","1","2017"
"Dunnigan Fire","84","1","2016"
"I-5 Fire","2312","1","2017"
"Easy Fire","1806","1","2019"
"Translator Fire","40","1","2017"
"Railroad Fire","12407","1","2017"
"Oregon Fire","40","1","2018"
"Gold Fire","22","1","2017"
"Swedes Fire","496","1","2019"
"Pauma Fire","15","1","2019"
" Bridge Fire","37","1","2017"
"Dark Fire","11","1","2018"
"Butte Fire","1200","1","2018"
"Cleghorn Fire","110","1","2013"
"Rains Fire","35","1","2019"
"York Fire","31","1","2017"
"Cottonwood Fire","50","1","2013"
"Montezuma Fire","62","1","2017"
"Ivy Fire","80","1","2019"
"Klamathon Fire","38008","1","2018"
"Deer Fire","1785","2","2016"
"3-12 Fire","77","1","2015"
"Desabla Fire","14","1","2017"
"Beale Fire","400","1","2016"
"Oregon Gulch Fire (part of the Beaver Complex)","35302","1","2014"
"Henthorne Fire","244","1","2019"
"Meamber Fire","12","1","2018"
"Curie Fire","70","1","2018"
"Spring Fire ","20","1","2019"
"Old Water Fire","145","1","2019"
"Bruce Fire","56","1","2018"
"Fountain Fire ","79","1","2017"
"Priest Fire","167","1","2018"
"Trailhead Fire","5646","2","2016"
"Green Fire","123","1","2016"
"Juniper Fire","31","1","2017"
"Corral Complex","12503","1","2013"
"Coe Fire","120","1","2016"
"Boot Fire","6974","1","2018"
"Cocos Fire","1995","1","2014"
"Keller Fire","10","1","2018"
"Bridges Fire","46","1","2013"
"Reed Fire","120","1","2014"
"Oroville Spillway ","0","1","2017"
"Country Fire","82","1","2017"
"Mendocino National Forest Lightning Complex","227","1","2015"
"Dehesa Fire","12","1","2017"
"Sulphur Fire (Mendocino Lake Complex)","2207","1","2017"
"Briggs Fire","173","1","2016"
"Mallard Fire","75","1","2015"
"Klamath Fire","0","1","2017"
"Bitter Fire","30","1","2019"
"Buck Fire","16","1","2015"
"Quimby Fire","30","1","2018"
"Pratt Fire","45","1","2013"
"Grove Fire","25","1","2019"
"Bodega Fire","18","1","2017"
"Murphy Fire","117","1","2018"
"Norman Fire","70","1","2014"
"37 Fire","1660","1","2017"
"Gopher Fire","35","2","2016"
"Gaines Fire","1300","1","2019"
"Bogart Fire","31","1","2014"
"Ogilvy Fire","172","1","2018"
"Vasco Fire","240","1","2013"
"Sterling","125","1","2018"
"Cabin Fire","6980","1","2015"
